"","response","email","date","site","initials","number","camera","first_photo","gps_n","gps_w","slope","aspect","height_ft","seedling_or_adult","dbh_cm","adult_crown_class","adult_dead_or_alive","dead_adult_base_epicormics","dead_adult_trunk_epicormics","dead_adult_canker_presence","dead_adult_canker_base","dead_adult_canker_1st9ft","dead_adult_canker_1stlivebranch","dead_adult_girdle","producing_seed","adult_percent_live_canopy","live_adult_base_epicormics","live_adult_trunk_epicormics","live_adult_canker_presence","live_adult_callus_presence","live_adult_canker_base","live_adult_canker_1st9ft","live_adult_canker_1stlivebranch","live_adult_girdle","live_adult_purdue_canker_rating","live_adult_purdue_canopy_ranking","densi_n","densi_e","densi_s","densi_w","basal_diameter_mm","seedling_damage","seedling_previous_stem_count","seedling_germ_yr","seedling_dead_or_alive","dead_seedling_canker_presence","seedling_percent_live_canopy","live_seedling_canker_presence","live_seedling_callus_presence","seedling_canker_base","seedling_canker_stem","seedling_girdle","seed_count","seed_bunch_size","terminal_bud","leaf_scar","lenticels","twig_hairs","riparian_or_upland","associate_trees","competition","other_competition","last_photo","notes","hybrid_visibility","Column.67","IGNORE.1","Ignore.2","ignore.3","ignore.4","ignore.5","ignore.6","ignore.7","ignore.8","Column.77","hickory","dogwood","black.walnut","white.pine","red.cedar","white.cedar","malus","buckthorn","ash","elm","mulberry","basswood","sumac","honeysuckle","elderberry","prunus","lilac","boxelder","maple","hackberry","butternut","oak","poplar","hazelnut","beech","gooseberry","spruce","birch","seedling_damage.1","Column.105","age_clark","soil_type"
"11",31,"kyliereroth@gmail.com","8/26/2025","CPVT","","39","kylie’s phone",7245,44.33535,-73.24274,4,"w",2.2,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,96,89,16,"Having been mowed in the past",2,2022,"Alive","",100,"Y","Y",5,3,30,"","",0,"0","0","0","upland","butternut, ash, red cedar","Nearby grasses or forbs, Vines on the tree","",7259,"has 2 main stems that are winding together","Y",NA,"butternut","ash","red cedar","","","","","",NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","",2022,0
"12",16,"kyliereroth@gmail.com","8/25/2025","CPVT","","40","kylie’s phone",7064,44.33531,-73.24266,3,"w",2.3,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,71,96,90,34,10,"Having been mowed in the past",2,2021,"Alive","",90,"Y","N",25,0,0,"","",NA,"","","","upland","ash, butternut, red cedar","Nearby grasses or forbs","",7073,"previous stem broken off from mower, not considered in canker analysis","N",NA,"ash","butternut","red cedar","","","","","",NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","",2021,0
"13",18,"kyliereroth@gmail.com","8/25/2025","CPVT","","41","kylie’s phone",7089,44.3354,-73.24274,5,"w",3.8,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,88,92,24,"Having been mowed in the past",4,2020,"Alive","",95,"Y","Y",50,1,5,"","",NA,"","","","riparian","ash, red cedar, butternut","Nearby grasses or forbs","",7100,"large stem that was mowed high so it has many dead sprouts off it. it has a large callousing section of damage at the base which could be canker or mechanical damage. ","N",NA,"ash","red cedar","butternut","","","","","",NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","",2020,0
"14",19,"kyliereroth@gmail.com","8/25/2025","CPVT","","42","kylie’s phone ",7101,44.3354,-73.24271,5,"w",3,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,96,96,20,"Having been mowed in the past",3,2021,"Alive","",90,"N","",NA,NA,NA,"","",NA,"","","","upland","ash, red cedar, butternut","Nearby grasses or forbs","",7110,"some mechanical damage, did not look like canker but unsure","N",NA,"ash","red cedar","butternut","","","","","",NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","",2021,0
"15",22,"kyliereroth@gmail.com","8/25/2025","CPVT","","43","kylie’s phone",7135,44.33544,-73.24273,6,"w",3.5,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,96,96,12,"Having been mowed in the past",1,2022,"Alive","",100,"Y","N",0,1,5,"","",0,"0","0","0","upland","red cedar, ash, butternut","Nearby grasses or forbs","",7143,"","Y",NA,"red cedar","ash","butternut","","","","","",NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","",2022,0
"16",21,"kyliereroth@gmail.com","8/25/2025","CPVT","","44","kylie’s phone",7120,44.33544,-73.24269,4,"w",3.9,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,96,96,12,"Having been mowed in the past",5,2021,"Alive","",95,"Y","N",0,1,8,"","",1,"0","0","0","upland","ash, red cedar, butternut","Nearby grasses or forbs, Other","grape vine adjacent, but not on tree yet",7134,"possible that the original terminal bud died back and the new one is interesting looking because it is still growing in","Y",NA,"ash","red cedar","butternut","","","","","",NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","",2021,0
"17",30,"kyliereroth@gmail.com","8/26/2025","CPVT","","45","kylie’s phone",7232,44.33542,-73.24257,3,"w",2.1,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,96,96,14,"Having been mowed in the past",3,2022,"Alive","",95,"Y","Y",0,3,35,"","",0,"0","0","0","upland","ash, red cedar, butternut","Nearby grasses or forbs","",7244,"2 major stems each with 2-3 off shoots, the second one has been mowed each time ","Y",NA,"ash","red cedar","butternut","","","","","",NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","",2022,0
"18",11,"kyliereroth@gmail.com","8/25/2025","CPVT","","46","kylie’s phone ",7016,44.33515,-73.24262,2,"W",3.48,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,96,96,12,"Having been mowed in the past",5,2022,"Alive","",100,"Y","N",0,1,2,"","",NA,"","","","upland","ash, maple, butternut","Nearby grasses or forbs","",7024,"this seedling has 4 live stems currently, and others that were killed by mowing in the past. we measured the largest/ tallest one. ","N",NA,"ash","maple","butternut","","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","",2022,0
"19",12,"kyliereroth@gmail.com","8/25/2025","CPVT","","47","kylie’s phone",7026,44.33515,-73.24251,2,"w",2.92,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,96,96,9,"Having been mowed in the past",2,2019,"Alive","",100,"N","",NA,NA,NA,"","",NA,"","","","upland","ash, butternut, maple","Nearby grasses or forbs","",7032,"has 2 woody stems that were previously mowed, one is about half an inch in diameter estimating it to be at least 5 years old","N",NA,"ash","butternut","maple","","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","",2019,0
"20",13,"kyliereroth@gmail.com","5/25/2025","CPVT","","48","kylie’s phone",7033,44.33511,-73.24257,2,"w",3.68,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,96,96,16,"Having been mowed in the past",6,2017,"Alive","",100,"Y","N",2,1,25,"","",NA,"","","","upland","butternut, maple, ash","Nearby grasses or forbs","",7042,"has a large mowed over root system indicating it to be several years old ","N",NA,"butternut","maple","ash","","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","",2017,0
"21",69,"kyliereroth@gmail.com","8/28/2025","CPVT","","49","kylie’s phone",7731,44.33248,-73.24766,0,"",30.3,"Adult",19.4,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",90,"N","N","Y","Yes",95,60,60,40,4,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","cherry, butternut, maple, ash","Nearby shrubs","",7740,"","N",NA,"prunus","butternut","maple","ash","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,"","",2000.75,0
"22",70,"kyliereroth@gmail.com","8/28/2025","CPVT","","50","kylie’s phone",7741,44.33255,-73.2477,0,"",39.5,"Adult",39.5,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",30,"N","N","Y","Yes",96,75,70,60,5,4.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","ash, butternut, maple, cheery","Vines on the tree","",7751,"3 different kinds of vines on the tree","N",NA,"ash","butternut","maple","prunus","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,"","",1975.625,0
"23",79,"kyliereroth@gmail.com","8/28/2025","CPVT","","51","kylie’s phone",7854,44.33242,-73.24874,2,"w",54.6,"Adult",26.1,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",90,"N","N","Y","Yes",50,50,45,45,4,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","cherry, maple, ash, butternut ","Vines on the tree","",7863,"","N",NA,"prunus","maple","ash","butternut","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,"","",1992.375,0
"24",77,"kyliereroth@gmail.com","8/28/2025","CPVT","","52","kylie’s phone",7819,44.33237,-73.24869,2,"nw",56.9,"Adult",35.7,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",90,"N","Y","Y","Yes",50,25,20,40,3,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","cherry, maple, butternut, ash","Vines on the tree","",7833,"4 main stems, dbh of 3 smaller ones: 33.8, 27.2, 23.4 cm","N",NA,"prunus","maple","butternut","ash","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,"","",1980.375,0
"25",80,"kyliereroth@gmail.com","8/28/2025","CPVT","","53","kylie’s phone",7864,44.33226,-73.24907,0,"",54.2,"Adult",30.9,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",20,"N","Y","Y","Yes",95,40,30,80,3,4,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, maple, ash","Vines on the tree","",7872,"","N",NA,"butternut","maple","ash","","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"","",1986.375,0
"26",81,"kyliereroth@gmail.com","8/28/2025","CPVT","","54","kylie’s phone",7874,44.33223,-73.24917,0,"",55,"Adult",30.1,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",50,"N","Y","Y","Yes",60,35,20,35,2,3.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","ash, maple, butternut","Vines on the tree","",7885,"","N",NA,"ash","maple","butternut","","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"","",1987.375,0
"27",82,"kyliereroth@gmail.com","8/28/2025","CPVT","","55","kylie’s phone",7886,44.33234,-73.24904,0,"",57,"Adult",38.9,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",85,"N","Y","Y","Yes",85,50,35,65,4,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","ash, butternut, maple","Vines on the tree","",7896,"second main stem dbh 20.3 cm","N",NA,"ash","butternut","maple","","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"","",1976.375,0
"28",83,"kyliereroth@gmail.com","8/28/2025","CPVT","","56","kylie’s phone",7897,44.33251,-73.24914,1,"w",52.5,"Adult",37.2,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",15,"N","Y","Y","Yes",70,60,55,70,4,4.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",0,"0","0","0","upland","ash, butternut, maple","Vines on the tree","",7896,"","Y",NA,"ash","butternut","maple","","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"","",1978.5,0
"29",84,"kyliereroth@gmail.com","8/28/2025","CPVT","","57","kylie’s phone",7912,44.33251,-73.24913,0,"",53,"Adult",39.2,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",10,"N","Y","Y","Yes",65,50,70,60,4,5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","ash, butternut, maple, red oak","Nearby shrubs, Vines on the tree","",7924,"","N",NA,"ash","butternut","maple","oak","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,"","",1976,0
"30",50,"kyliereroth@gmail.com","8/27/2025","CPVT","","58","kylie’s phone",7473,44.33312,-73.24611,2,"w",50.2,"Adult",33,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",95,"N","N","Y","Yes",90,60,50,60,3.5,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",0,"0","0","0","upland","butternut, ash, basswood, honeysuckle ","Vines on the tree","",7491,"3 main stems that split just above the base","Y",NA,"butternut","ash","basswood","honeysuckle","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"","",1983.75,0
"31",51,"kyliereroth@gmail.com","8/27/2025","CPVT","","59","kylie’s phone",7492,44.33334,-73.24599,0,"",61.5,"Adult",60,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",90,"N","N","Y","Yes",15,10,10,25,1,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","ash, butternut, basswood, honeysuckle ","Vines on the tree","",7503,"","N",NA,"ash","butternut","basswood","honeysuckle","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"","",1950,0
"32",49,"kyliereroth@gmail.com","8/27/2025","CPVT","","60","kylie’s phone",7461,44.33332,-73.24626,2,"w",51.3,"Adult",48.5,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",75,"N","Y","Y","Yes",95,50,40,50,3.5,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","basswood, sumac, ash, butternut, honeysuckle","Nearby grasses or forbs","",7472,"Jim has photos of leaves","N",NA,"basswood","sumac","ash","butternut","honeysuckle","","","",NA,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"","",1964.375,0
"33",48,"kyliereroth@gmail.com","8/27/2025","CPVT","","61","kylie’s phone",7445,44.33,-73.24,1,"w",54.7,"Adult",58.6,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",90,"N","N","Y","Yes",60,5,5,20,3,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",0,"0","0","0","upland","ash, butternut, basswood, sumac, ","Vines on the tree","",7460,"","Y",NA,"ash","butternut","basswood","sumac","","","","",NA,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"","",1951.75,0
"34",25,"kyliereroth@gmail.com","8/25/2025","CPVT","","62","kylie’s phone",7174,44.33496,-73.24347,10,"w",84.5,"Adult",67.8,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Yes",90,"N","N","Y","No",0,0,5,5,1.5,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"Lots - more than 50 seeds on the tree","5 or fewer",NA,"","","","upland","honeysuckle, red cedar, ash, hazelnut","Nearby shrubs, Vines on the tree","",7184,"hard to assess cankers due to wetness","N",NA,"honeysuckle","red cedar","ash","hazelnut","","","","",NA,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","",1940.25,0
"35",26,"kyliereroth@gmail.com","8/25/2025","CPVT","","63","kylie’s phone",7186,44.33485,-73.24362,15,"w",30.1,"Adult",36.8,"Dominant","Alive","","","",NA,NA,NA,NA,"No",20,"N","Y","Y","Yes",80,80,85,75,5,4,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","red cedar, maple, ash
, butternut buckthorn, basswood","Nearby shrubs, Vines on the tree","",7173,"","N",NA,"red cedar","maple","ash","butternut","basswood","buckthorn","","",NA,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"","",1979,0
"36",20,"kyliereroth@gmail.com","8/25/2022","CPVT","","64","kylie’s phone",7111,44.33541,-73.24267,4,"w",3.7,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,96,96,15,"Having been mowed in the past",2,2020,"Alive","",100,"Y","N",0,1,5,"","",NA,"","","","upland","red cedar, ash, butternut","Nearby grasses or forbs","",7119,"2 seedlings right next to each other that could be separate trees, we evaluated the larger (southeastern) one","N",NA,"red cedar","ash","butternut","","","","","",NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","",2020,0
"37",17,"kyliereroth@gmail.com","8/25/2025","CPVT","","65","kylie’s phone",7074,44.33538,-73.24267,4,"w",3.8,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,96,76,11,"Having been mowed in the past",10,2020,"Alive","",100,"Y","N",10,2,10,"","",NA,"","","","riparian","ash, butternut, red cedar ","Nearby grasses or forbs","",7088,"has multiple live stems, and many previously mowed dead stems, with a large apparent main stem or root","N",NA,"ash","butternut","red cedar","","","","","",NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","",2020,0
"38",15,"kyliereroth@gmail.com","8/25/2025","CPVT","","66","kylie’s phone",7052,44.33534,-73.24262,4,"w",1.9,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,96,96,96,96,10,"Having been mowed in the past, Rabbit browse",4,2020,"Alive","",100,"Y","N",0,1,3,"","",NA,"","","","upland","red cedar, butternut, ash","Nearby grasses or forbs","",7063,"","N",NA,"red cedar","butternut","ash","","","","","",NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Having been mowed in the past","Rabbit browse",2020,0
