"","response","email","date","site","initials","number","camera","first_photo","gps_n","gps_w","slope","aspect","height_ft","seedling_or_adult","dbh_cm","adult_crown_class","adult_dead_or_alive","dead_adult_base_epicormics","dead_adult_trunk_epicormics","dead_adult_canker_presence","dead_adult_canker_base","dead_adult_canker_1st9ft","dead_adult_canker_1stlivebranch","dead_adult_girdle","producing_seed","adult_percent_live_canopy","live_adult_base_epicormics","live_adult_trunk_epicormics","live_adult_canker_presence","live_adult_callus_presence","live_adult_canker_base","live_adult_canker_1st9ft","live_adult_canker_1stlivebranch","live_adult_girdle","live_adult_purdue_canker_rating","live_adult_purdue_canopy_ranking","densi_n","densi_e","densi_s","densi_w","basal_diameter_mm","seedling_damage","seedling_previous_stem_count","seedling_germ_yr","seedling_dead_or_alive","dead_seedling_canker_presence","seedling_percent_live_canopy","live_seedling_canker_presence","live_seedling_callus_presence","seedling_canker_base","seedling_canker_stem","seedling_girdle","seed_count","seed_bunch_size","terminal_bud","leaf_scar","lenticels","twig_hairs","riparian_or_upland","associate_trees","competition","other_competition","last_photo","notes","hybrid_visibility","Column.67","IGNORE.1","Ignore.2","ignore.3","ignore.4","ignore.5","ignore.6","ignore.7","ignore.8","Column.77","hickory","dogwood","black.walnut","white.pine","red.cedar","white.cedar","malus","buckthorn","ash","elm","mulberry","basswood","sumac","honeysuckle","elderberry","prunus","lilac","boxelder","maple","hackberry","butternut","oak","poplar","hazelnut","beech","gooseberry","spruce","birch","seedling_damage.1","Column.105"
"11",101,"kyliereroth@gmail.com","9/4/2025","ILM","BU","57","SonyHX90V",1844,44.88291,-73.3311,0,"",47,"Adult",35.7,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",100,"N","N","Y","Yes",60,50,40,55,2.5,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","white cedar, elderberry, dogwood, butternut, red cedar, ash, shagbark hickory, elm ","Other","white cedar",1849,"collected by Catherine","N",NA,"white cedar","elderberry","dogwood","butternut","red cedar","ash","hickory","elm",NA,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"12",102,"kyliereroth@gmail.com","9/4/2025","ILM","BU","58","SonyHX90V",1858,44.88297,-73.3313,0,"",42,"Adult",30,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",70,"N","N","Y","Yes",45,30,20,45,2.5,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","white cedar, bitternut hickory, butternut, red cedar, elm, elderberry ","None apparent","",1867,"collected by Catherine","N",NA,"white cedar","hickory","butternut","red cedar","elm","elderberry","","",NA,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"13",99,"kyliereroth@gmail.com","9/11/2025","ILM","BU","60","SonyHX90V",4268,44.8837,-73.3311,1,"N",29,"Adult",16.6,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",10,"Y","N","Y","Yes",80,85,75,80,4,3.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"Unsure","0","0","upland","red cedar, ash, buckthorn, dogwood ","None apparent","",4279,"collected by Kylie","Y",NA,"red cedar","ash","buckthorn","dogwood","","","","",NA,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"14",150,"kyliereroth@gmail.com","9/9/2025","ILM","BU","99","SonyHX90V",3287,44.88319,-73.3264,1,"E",45,"Adult",34.1,"Intermediate","Dead","N","N","Y",85,20,15,80,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, ash, maple, basswood, red cedar, white cedar","None apparent","",3295,"collected by kylie","N",NA,"butternut","ash","maple","basswood","red cedar","white cedar","","",NA,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"",""
"15",151,"kyliereroth@gmail.com","9/9/2025","ILM","BU","100","SonyHX90V",3296,44.88319,-73.3265,1,"E",64,"Adult",47.5,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",95,"N","N","Y","Yes",15,2,1,8,1.5,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, ash, maple, basswood, red cedar, white cedar ","None apparent","",3305,"collected by kylie","N",NA,"butternut","ash","maple","basswood","red cedar","white cedar","","",NA,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"",""
"16",152,"kyliereroth@gmail.com","9/7/2025","ILM","BU","101","SonyHX90V",2739,44.88375,-73.3266,3,"SE",36,"Adult",17.5,"Intermediate","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",85,"N","N","Y","Yes",35,30,30,35,3,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","shagbark hickory, sugar maple, basswood, white cedar, red cedar ","None apparent","",2749,"collected by catherine","N",NA,"hickory","maple","basswood","white cedar","red cedar","","","",NA,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",""
"17",153,"kyliereroth@gmail.com","9/3/2025","ILM","BU","103","SonyHX90V",1581,44.88427,-73.3267,2,"SE",45,"Adult",21.8,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Not fruiting season",90,"N","Y","Y","Yes",60,35,20,55,3.5,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, basswood, ash, red cedar, elm","None apparent","",1588,"collected by emma ","N",NA,"butternut","basswood","ash","red cedar","elm","","","",NA,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"18",154,"kyliereroth@gmail.com","9/3/2025","ILM","BU","104","SonyHX90V",1574,44.88431,-73.3266,2,"SE",45,"Adult",33,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Not fruiting season",90,"N","N","Y","Yes",90,55,35,50,3,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, sugar maple, red cedar, white cedar, ash, basswood, elm","None apparent","",1580,"collected by emma ","N",NA,"butternut","maple","red cedar","white cedar","ash","basswood","elm","",NA,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"",""
"19",155,"kyliereroth@gmail.com","9/3/2025","ILM","BU","105","SonyHX90V",1565,44.88434,-73.3266,3,"SE",40,"Adult",22,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Not fruiting season",60,"N","N","Y","Yes",70,60,50,75,3.5,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, ash, red cedar, elm, maple, white cedar","None apparent","",1573,"collected by emma","N",NA,"butternut","ash","red cedar","elm","maple","white cedar","","",NA,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"",""
"20",156,"kyliereroth@gmail.com","9/3/2025","ILM","BU","106","SonyHX90V",1556,44.88436,-73.3266,1,"SE",35,"Adult",27,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Not fruiting season",55,"N","Y","Y","Yes",90,75,40,95,4,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, red cedar, white cedar, maple, ash","None apparent","",1564,"collected by emma","N",NA,"butternut","red cedar","white cedar","maple","ash","","","",NA,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"",""
"21",304,"cdellolio@mortonarb.org","9/10/2025","ILM","Bu","107","SonyHX90V",4018,44.884448,-73.32735,1,"E",33,"Adult",16.1,"Intermediate","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",90,"N","N","Y","Yes",75,45,35,75,3.5,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","Ash, butternut, buckthorn, cherry, red cedar, maple, elm, dogwood","None apparent","",4029,"collected by kylie","N",NA,"ash","butternut","buckthorn","prunus","red cedar","maple","elm","dogwood",NA,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,"",""
"22",157,"kyliereroth@gmail.com","9/3/2025","ILM","BU","109","SonyHX90V",1532,44.88446,-73.3265,2,"SE",44,"Adult",22.2,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Not fruiting season",95,"N","N","Y","Yes",0,1,0.5,3,1,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","red cedar, butternut, dogwood, maple, elm, ash","None apparent","",1538,"collected by emma","N",NA,"red cedar","butternut","dogwood","maple","elm","ash","","",NA,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"",""
"23",158,"kyliereroth@gmail.com","9/3/2025","ILM","BU","110","SonyHX90V",1520,44.8845,-73.3265,2,"SE",38,"Adult",21.5,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Not fruiting season",45,"Y","Y","Y","Yes",60,70,55,90,4.5,3.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","0","0","upland","red cedar, butternut, elm, ash, maple, dogwood ","None apparent","",1531,"collected by emma","Y",NA,"red cedar","butternut","elm","ash","maple","dogwood","","",NA,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"",""
"24",159,"kyliereroth@gmail.com","9/11/2025","ILM","BU","118","SonyHX90V",4082,44.88659,-73.3237,1,"E",10,"Adult",6.7,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",100,"Y","N","Y","NA - no large cankers present",0,NA,1,2,1,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","0","0","upland","ash, hickory","None apparent","",4095,"large deer rub taking up 1/4 of trunk. was not sure if deer rub or calloused canker but confirmed as deer rub by Martin. collected by catherine","Y",NA,"ash","hickory","","","","","","",NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"25",164,"kyliereroth@gmail.com","9/11/2025","ILM","BU","119","SonyHX90V",4144,44.88548,-73.3238,1,"E",30,"Adult",15.5,"Intermediate","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",100,"N","Y","Y","Yes",7,NA,15,50,2,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"Unsure","0","Unsure","upland","sumac, dogwood, boxelder, ash","None apparent","",4155,"collected by catherine","Y",NA,"sumac","dogwood","boxelder","ash","","","","",NA,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"",""
"26",165,"kyliereroth@gmail.com","9/11/2025","ILM","BU","120","SonyHX90V",4156,44.88542,-73.3239,0,"",13,"Adult",6.1,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",100,"N","Y","N","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"1","0","1","upland","sumac, butternut, siberian elm, ash, dogwood","None apparent","",4170,"trunk epicormic is dead, collected by catherine","Y",NA,"sumac","butternut","elm","ash","dogwood","","","",NA,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"27",166,"kyliereroth@gmail.com","9/10/2025","ILM","BU","123","SonyHX90V",3829,44.88483,-73.3261,0,"",40,"Adult",27.5,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",75,"N","N","Y","Yes",35,80,50,95,4.5,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","sugar maple, ash, elm, white pine","None apparent","",3839,"collected by catherine","N",NA,"maple","ash","elm","white pine","","","","",NA,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",""
"28",167,"kyliereroth@gmail.com","9/9/2025","ILM","BU","124","SonyHX90V",3306,44.88351,-73.3262,1,"E",39,"Adult",12.5,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",85,"N","Y","Y","Yes",15,20,25,25,2.5,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, ash, maple, basswood, red cedar, white cedar, hickory ","None apparent","",3315,"collected by catherine","N",NA,"butternut","ash","maple","basswood","red cedar","white cedar","hickory","",NA,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"",""
"29",168,"kyliereroth@gmail.com","9/4/2025","ILM","BU","125","SonyHX90V",1616,44.88241,-73.3281,1,"E",38,"Adult",33,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",15,"Y","Y","Y","Yes",35,80,75,85,3.5,4,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","white cedar, maple, bitternut hickory, eastern red cedar, elm","None apparent","",1623,"collected by emma","N",NA,"white cedar","maple","hickory","red cedar","elm","","","",NA,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",""
"30",169,"kyliereroth@gmail.com","9/4/2025","ILM","BU","126","SonyHX90V",1624,44.88257,-73.328,2,"E",42,"Adult",37.4,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",0,"N","Y","Y","Yes",75,NA,95,95,5,5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","0","0","upland","sugar maple, bitternut hickory, white cedar, red cedar, ash","None apparent","",1636,"collected by emma","Y",NA,"maple","hickory","white cedar","red cedar","ash","","","",NA,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",""
"31",170,"kyliereroth@gmail.com","9/4/2025","ILM","BU","127","SonyHX90V",1637,44.88263,-73.3283,1,"E",35,"Adult",33.2,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",60,"N","N","Y","Yes",90,70,60,90,4,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, white cedar, sugar maple, ash","None apparent","",1644,"collected by catherine","N",NA,"butternut","white cedar","maple","ash","","","","",NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"",""
"32",171,"kyliereroth@gmail.com","9/4/2025","ILM","BU","130","SonyHX90V",1715,44.88272,-73.329,0,"",24,"Adult",20.2,"Intermediate","Alive","","","",NA,NA,NA,NA,"Yes",15,"N","Y","Y","Yes",35,65,60,95,4,3,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"Few - less than 50 seeds on the tree","5 or fewer",NA,"","","","upland","red cedar, bitternut hickory, honeysuckle, buckthorn, ash","Vines on the tree","",1726,"collected by kylie","N",NA,"red cedar","hickory","honeysuckle","buckthorn","ash","","","",NA,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"33",172,"kyliereroth@gmail.com","9/8/2025","ILM","BU","133","SonyHX90V",3199,44.88304,-73.3304,0,"",0.94,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,84,93,96,94,5.94,"",0,2023,"Alive","",0,"Y","Y",30,0,45,"","",NA,"1","0","0","upland","red cedar, honeysuckle, buckthorn","None apparent","",3207,"collected by kylie","Y",NA,"red cedar","honeysuckle","buckthorn","","","","","",NA,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"34",173,"kyliereroth@gmail.com","9/10/2025","ILM","BU","138","SonyHX90V",3794,44.88308,-73.331,0,"",1.14,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,84,70,96,96,3.99,"",2,2023,"Dead","N",NA,"","",NA,NA,NA,"","",NA,"0","0","Unsure","upland","red cedar, buckthorn, butternut, honeysuckle, white cedar","None apparent","",3800,"collected by catherine","Y",NA,"red cedar","buckthorn","butternut","honeysuckle","white cedar","","","",NA,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"35",174,"kyliereroth@gmail.com","9/4/2025","ILM","BU","141","SonyHX90V",1868,44.88309,-73.3312,0,"",1.9,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,31,44,86,80,9.47,"",0,2024,"Alive","",0,"N","",NA,NA,NA,"","",NA,"0","0","0","upland","red cedar, butternut, buckthorn, elm","None apparent","",1874,"leafless- possible due to drought, collected by catherine","Y",NA,"red cedar","butternut","buckthorn","elm","","","","",NA,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"36",175,"kyliereroth@gmail.com","9/4/2025","ILM","BU","142","SonyHX90V",1850,44.88307,-73.3313,1,"W",2.18,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,61,91,85,67,6.04,"Having been mowed in the past",2,2023,"Alive","",80,"N","",NA,NA,NA,"","",NA,"0","Unsure","0","upland","butternut, red cedar, white cedar","None apparent","",1857,"collected by catherine","Y",NA,"butternut","red cedar","white cedar","","","","","",NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Having been mowed in the past",""
"37",176,"kyliereroth@gmail.com","9/9/2025","ILM","BU","149","SonyHX90V",3260,44.88387,-73.3258,1,"E",37,"Adult",20.5,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",30,"N","N","Y","Yes",25,30,40,50,2.5,3,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","ash, basswood, red cedar, white cedar","None apparent","",3269,"collected by kylie","N",NA,"ash","basswood","red cedar","white cedar","","","","",NA,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"38",177,"kyliereroth@gmail.com","9/7/2025","ILM","BU","157","SonyHX90V",2661,44.88371,-73.3272,2,"NE",5,"Adult",13,"Suppressed","Alive","","","",NA,NA,NA,NA,"No",95,"N","N","Y","Yes",5,NA,5,20,1,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","0","0","upland","red cedar, dogwood, butternut","None apparent","",2672,"collected by catherine","Y",NA,"red cedar","dogwood","butternut","","","","","",NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
