SUM of impact_coefficient_with_height_and_direction,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
focal tree,alternate-leaf dogwood,american elm,ash spp,basswood,big tooth aspen,birch spp,bitternut hickory,black ash,black cherry,black walnut,box elder,buckthorn,butternut,cedar spp,elderberry,elm spp,green ash,hickory spp,honeysuckle,ironwood,lilac,malus,paper birch,pear spp,pin cherry,red cedar,red maple,serviceberry,shagbark hickory,slippery elm,sugar maple,white ash,white cedar,white oak,yellow birch,Grand Total,ignore,gps_n,gps_w,slope,aspect,height_ft,seedling_or_adult,dbh_cm,adult_crown_class,adult_dead_or_alive,dead_adult_base_epicormics,dead_adult_trunk_epicormics,dead_adult_canker_presence,dead_adult_canker_base,dead_adult_canker_1st9ft,dead_adult_canker_1stlivebranch,dead_adult_girdle,producing_seed,adult_percent_live_canopy,live_adult_base_epicormics,live_adult_trunk_epicormics,live_adult_canker_presence,live_adult_callus_presence,live_adult_canker_base,live_adult_canker_1st9ft,live_adult_canker_1stlivebranch,live_adult_girdle,live_adult_purdue_canker_rating,live_adult_purdue_canopy_ranking,densi_n,densi_e,densi_s,densi_w,basal_diameter_mm,seedling_damage,seedling_previous_stem_count,seedling_germ_yr,seedling_dead_or_alive,dead_seedling_canker_presence,seedling_percent_live_canopy,live_seedling_canker_presence,live_seedling_callus_presence,seedling_canker_base,seedling_canker_stem,seedling_girdle,seed_count,seed_bunch_size,terminal_bud,leaf_scar,lenticels,twig_hairs,riparian_or_upland,associate_trees,competition,other_competition,last_photo,notes,hybrid_visibility,Column 67,IGNORE-1,Ignore-2,ignore-3,ignore-4,ignore-5,ignore-6,ignore-7,ignore-8,Column 77,hickory,dogwood,black walnut,white pine,red cedar,white cedar,malus,buckthorn,ash,elm,mulberry,basswood,sumac,honeysuckle,elderberry,prunus,lilac,boxelder,maple,hackberry,butternut,oak,poplar,hazelnut,beech,gooseberry,spruce,birch
50,,20.42912013,,,,,,,2.386363636,,,3.894386743,,,,,,,0.606993007,,,,,,,56.09992911,,,1.475206612,,,,,,,84.89199924,,44.88337,-73.327,5,NE,11,Adult,10.4,Intermediate,Alive,,,,,,,,No,65,N,N,Y,Yes,45,,50,60,3,2.5,,,,,,,,,,,,,,,,,,,NA,0,0,1,upland,"red cedar, bitternut hickory ",None apparent,,2582,collected by Emma,Y,,red cedar,hickory,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,,,,,,,,,,,,1.617511521,,,,,,,,,,5.221073961,,,,97.84615235,,,,,,,,,,104.6847378,,44.88345,-73.3272,1,E,14,Adult,5.6,Suppressed,Alive,,,,,,,,No,95,N,N,Y,Yes,25,,10,30,1.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, butternut, malus",None apparent,,2603,collected by Emma,N,,red cedar,butternut,malus,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,0.9542925301,,0.4787234043,,,,,,,,,,4.648573493,,,,,,,,,,,,,11.09324796,,,1.64939303,2.474111558,,,23.75171161,,,45.05005359,,44.88291,-73.3311,0,,47,Adult,35.7,Co-dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,60,50,40,55,2.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"white cedar, elderberry, dogwood, butternut, red cedar, ash, shagbark hickory, elm ",Other,white cedar,1849,collected by Catherine,N,,white cedar,elderberry,dogwood,butternut,red cedar,ash,hickory,elm,,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
60,5.25862069,,,,,,,,,,,2.226948486,,,,,,,,,,4.280569196,,,,61.80466889,,,,,,,8.113090836,,,81.6838981,,44.8837,-73.3311,1,N,29,Adult,16.6,Co-dominant,Alive,,,,,,,,Unknown (unable to see),10,Y,N,Y,Yes,80,85,75,80,4,3.5,,,,,,,,,,,,,,,,,,,NA,Unsure,0,0,upland,"red cedar, ash, buckthorn, dogwood ",None apparent,,4279,collected by Kylie,Y,,red cedar,ash,buckthorn,dogwood,,,,,,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,,,9.990925367,,1.228433402,,,,,,,,10.27156394,,,,,,,,,,,,,21.2141688,,,,,,,,,,42.70509151,,44.88587,-73.3286,0,,42,Adult,29.5,Co-dominant,Alive,,,,,,,,Unknown (unable to see),95,N,N,Y,Yes,50,25,15,20,2.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"Ash, butternut, dogwood, red cedar, buckthorn, sumac",None apparent,,3885,collected by Kylie,N,,ash,butternut,dogwood,red cedar,buckthorn,sumac,,,,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,,6.692618775,17.11308911,,,,,2.501832831,,,,,8.408326861,0.3423094477,,,,,,,,,,,,43.59024338,,,,,3.908033283,,12.90036116,,,95.45681484,,44.88456,-73.3277,0,,42,Adult,35.5,Dominant,Alive,,,,,,,,Unknown (unable to see),85,N,N,Y,Yes,70,65,45,85,3.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"sugar maple, ash, red cedar ",None apparent,,3470,collected by Catherine,N,,maple,ash,red cedar,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,,1.149688831,2.380813953,,,,,,,,,0.7096519228,,0.2143579373,,,,,,,,1.504186047,,,,51.77392869,,,,,,,,,,57.73262738,,44.88471,-73.3271,0,,43,Adult,37.7,Dominant,Alive,,,,,,,,Unknown (unable to see),95,N,N,Y,Yes,10,5,5,10,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, red cedar, mulberry, elm, oak, ash, maple",None apparent,,3432,collected by kylie,N,,butternut,red cedar,mulberry,elm,oak,ash,maple,,,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
71,,3.595158025,9.151291034,,,,,0.5272340426,0.8682081941,5.892904481,,0.6117021277,7.60906623,,,3.999362282,,,,,,1.442022577,,,,27.49942962,,,0.5098692643,,1.18744543,8.237121462,3.926676,,,75.05749077,,44.88492,-73.3271,0,,47,Adult,19,Co-dominant,Alive,,,,,,,,No,100,N,N,Y,Yes,15,20,10,65,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"elm, black walnut, ash, butternut, white cedar",None apparent,,1465,collected by emma,N,,elm,black walnut,ash,butternut,white cedar,,,,,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,,13.26896285,42.365376,21.28686411,,,,,,,,,0.699444885,,,,,,,,,,,,,16.40766643,,,11.74971265,,23.99454047,,1.772727273,,,131.5452947,,44.88339,-73.3261,2,E,52,Adult,36.8,Co-dominant,Alive,,,,,,,,Unknown (unable to see),55,N,N,Y,Yes,85,60,60,90,3.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"maple, basswood, red cedar, white cedar, hickory ",None apparent,,3277,"hard to see crown due to maple canopy, collected by kylie ",N,,maple,basswood,red cedar,white cedar,hickory,,,,,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,,5.663779442,16.39276601,,,,,,,,,,,,,,,,,,,3.114660713,,,,34.64274367,,,,,0.3723809524,,27.1461616,,,87.33249238,,44.88389,-73.3299,0,,45,Adult,28.9,Co-dominant,Alive,,,,,,,,Yes,80,Y,N,Y,Yes,15,35,40,80,4,4,,,,,,,,,,,,,,,,,Lots - greater than 50,5 or fewer,NA,0,0,0,upland,"ash, butternut, red cedar, white cedar, honeysuckle",Other,Red cedar,245,,Y,,,,,,,,,,,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,,,1.619042449,,,,,0.2842105263,1.491232529,,,,,,,,,,0.3532110092,,,,,,,21.91233522,,,0.7660714286,,,,3.366118353,,,29.79222151,,44.88443,-73.3274,0,,50,Adult,43.3,Dominant,Alive,,,,,,,,Unknown (unable to see),50,N,Y,Y,Yes,70,35,25,70,3,3.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, ash, red cedar, white cedar",None apparent,,3422,collected by kylie,N,,butternut,ash,red cedar,white cedar,,,,,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,,2.612576437,2.579920617,8.876270173,,,15.14886764,4.835326322,,,,,,0.8287068382,,,,,,,,,,,,163.1324187,,,,,,,,,,198.0140867,,44.88425,-73.3276,0,,35,Adult,35.4,Dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,20,55,35,85,3,1,,,,,,,,,,,,,,,,,,,,,,,upland,"ash, elm, basswood, red cedar ",None apparent,,3542,collected by catherine,N,,ash,elm,basswood,red cedar,,,,,,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,,11.06666353,59.26160247,,,,,,,,,2.754493926,,,,,,,,,,7.846671242,,,2.151664581,65.5394785,,,4.102030948,,,,7.026000425,,,159.7486056,,44.88438,-73.3277,0,,47,Adult,33.5,Dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,10,55,40,50,3.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, elm, prunus spp, shagbark hickory, butternut",None apparent,,3563,collected by catherine,N,,red cedar,elm,prunus,hickory,butternut,,,,,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
93,,11.76743958,31.73656131,,,,,,,,,0.4848979592,3.424848767,,,,,,,,,,,,,93.56943704,,,,,,,,,,140.9831847,,44.88429,-73.3279,0,,35,Adult,16.9,Co-dominant,Alive,,,,,,,,Unknown (unable to see),85,N,N,Y,Yes,25,20,40,65,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"buckthorn, red cedar, elm, ash, butternut",None apparent,,3531,collected by catherine,N,,buckthorn,red cedar,elm,ash,butternut,,,,,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,,15.40528669,2.264471387,,,,,,,,,,7.017990762,1.12021997,,,,,,,,,,,,95.01319884,,,,,,,2.307255361,,,123.128423,,44.88438,-73.3281,0,,41,Adult,43,Co-dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,15,40,35,40,3.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"shagbark hickory, red cedar, butternut",None apparent,,3506,collected by catherine,N,,hickory,red cedar,butternut,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,,,23.83955839,13.47003227,,,,,6.922193878,,,,3.322076613,1.113014915,,,,,,11.17166627,,,,,,7.460408598,,,,,6.195816532,,6.844305902,,,80.33907335,,44.88319,-73.3265,1,E,64,Adult,47.5,Co-dominant,Alive,,,,,,,,Unknown (unable to see),95,N,N,Y,Yes,15,2,1,8,1.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, ash, maple, basswood, red cedar, white cedar ",None apparent,,3305,collected by kylie,N,,butternut,ash,maple,basswood,red cedar,white cedar,,,,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
101,,,4.451605203,36.98787638,,,,,,,,,,,,,,,,1.39739229,,,,,,17.84412063,,,0.4897119342,,8.675143698,,,,,69.84585014,,44.88375,-73.3266,3,SE,36,Adult,17.5,Intermediate,Alive,,,,,,,,Unknown (unable to see),85,N,N,Y,Yes,35,30,30,35,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"shagbark hickory, sugar maple, basswood, white cedar, red cedar ",None apparent,,2749,collected by catherine,N,,hickory,maple,basswood,white cedar,red cedar,,,,,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,,5.67548375,8.540026152,9.292463538,,,1.35854013,1.00035727,,,,0.8867689862,14.49901513,0.9447755264,,,,,,,,1.813480641,,,,18.81008336,,,,,14.98119336,,7.697127374,,,85.49931522,,44.88431,-73.3266,2,SE,45,Adult,33,Co-dominant,Alive,,,,,,,,Not fruiting season,90,N,N,Y,Yes,90,55,35,50,3,1,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, sugar maple, red cedar, white cedar, ash, basswood, elm",None apparent,,1580,collected by emma ,N,,butternut,maple,red cedar,white cedar,ash,basswood,elm,,,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
109,,14.24799336,11.08547159,,,,,,,,,,10.07482978,,,,,,,,3.50055371,3.129981732,0.9639689579,,,37.18612652,,,,,1.358504399,,2.740909091,,,84.28833913,,44.88446,-73.3265,2,SE,44,Adult,22.2,Co-dominant,Alive,,,,,,,,Not fruiting season,95,N,N,Y,Yes,0,1,0.5,3,1,1,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, butternut, dogwood, maple, elm, ash",None apparent,,1538,collected by emma,N,,red cedar,butternut,dogwood,maple,elm,ash,,,,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
123,,10.71878487,70.19690239,,,1.134200508,,8.788941688,,,,,2.057877814,3.647727273,,,,20.81861413,,,,,,,,19.34878882,,,,,12.22063492,,11.13409948,,,160.0665719,,44.88483,-73.3261,0,,40,Adult,27.5,Co-dominant,Alive,,,,,,,,Unknown (unable to see),75,N,N,Y,Yes,35,80,50,95,4.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"sugar maple, ash, elm, white pine",None apparent,,3839,collected by catherine,N,,maple,ash,elm,white pine,,,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,,,95.22506132,17.24753472,,,,,,,,,,0.8888888889,,,,,,8.492877897,,,,,,43.05658357,,,10.1717383,,6.327672328,,6.568983497,,,187.9793405,,44.88351,-73.3262,1,E,39,Adult,12.5,Co-dominant,Alive,,,,,,,,Unknown (unable to see),85,N,Y,Y,Yes,15,20,25,25,2.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, ash, maple, basswood, red cedar, white cedar, hickory ",None apparent,,3315,collected by catherine,N,,butternut,ash,maple,basswood,red cedar,white cedar,hickory,,,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
125,,24.39982813,3.417525773,,,,,,,,,,,0.7483552632,,,,,,,,,,,,110.4274955,,,,,26.76727293,,25.63095686,,,191.3914344,,44.88241,-73.3281,1,E,38,Adult,33,Co-dominant,Alive,,,,,,,,No,15,Y,Y,Y,Yes,35,80,75,85,3.5,4,,,,,,,,,,,,,,,,,,,,,,,upland,"white cedar, maple, bitternut hickory, eastern red cedar, elm",None apparent,,1623,collected by emma,N,,white cedar,maple,hickory,red cedar,elm,,,,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,5.257142857,12.34790836,24.80776856,,,,15.20216953,,,,,1.307227178,,3.326691349,,,,,,,,7.209242666,,,,16.50614506,,,,,,,13.08112913,,,99.04542469,,44.88257,-73.328,2,E,42,Adult,37.4,Co-dominant,Alive,,,,,,,,No,0,N,Y,Y,Yes,75,,95,95,5,5,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"sugar maple, bitternut hickory, white cedar, red cedar, ash",None apparent,,1636,collected by emma,Y,,maple,hickory,white cedar,red cedar,ash,,,,,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,0.8391192724,14.96793293,8.391608117,,,,3.732234432,,,,,0.3518123667,2.934782609,,,,,,,,,5.389396001,,,,37.19283065,,,5.127461475,,2.613970588,,,,,81.54114844,,44.88263,-73.3283,1,E,35,Adult,33.2,Co-dominant,Alive,,,,,,,,No,60,N,N,Y,Yes,90,70,60,90,4,2,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, white cedar, sugar maple, ash",None apparent,,1644,collected by catherine,N,,butternut,white cedar,maple,ash,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
130,,3.042763158,,,,,9.866704374,,,,2.041666667,6.865961126,,,,,,,,,,1.824297189,,,,39.34448077,,1.290719697,,,,,,,,64.27659298,,44.88272,-73.329,0,,24,Adult,20.2,Intermediate,Alive,,,,,,,,Yes,15,N,Y,Y,Yes,35,65,60,95,4,3,,,,,,,,,,,,,,,,,Few - less than 50 seeds on the tree,5 or fewer,,,,,upland,"red cedar, bitternut hickory, honeysuckle, buckthorn, ash",Vines on the tree,,1726,collected by kylie,N,,red cedar,hickory,honeysuckle,buckthorn,ash,,,,,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,,,,,,,,,,,,,4.639252336,,,,,,,,,,,,,157.2794042,,,,,,,,,,161.9186566,,44.88371,-73.3272,2,NE,5,Adult,13,Suppressed,Alive,,,,,,,,No,95,N,N,Y,Yes,5,,5,20,1,1,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"red cedar, dogwood, butternut",None apparent,,2672,collected by catherine,Y,,red cedar,dogwood,butternut,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
169,,1.285714286,1.35440613,,,,,,,,,2.585015528,,,,,,,,,,,,,,60.69569549,,,1.85483871,,0.4798387097,,,,,68.25550886,,44.88303,-73.3271,0,,24,Adult,18.3,Dominant,Alive,,,,,,,,Unknown (unable to see),10,N,N,Y,Yes,40,25,25,36,2.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"ash, butternut, elm, red cedar, hickory, maple",None apparent,,3336,collected by kylie,N,,ash,butternut,elm,red cedar,hickory,maple,,,,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
175,,9.098485835,22.83910793,38.84863821,,,,,6.110355253,,1.561167683,,,,,,,,,,,,,,,,,,,,,1.56047785,,,,80.01823276,,44.88634,-73.3292,0,,49,Adult,32.9,Co-dominant,Alive,,,,,,,,Unknown (unable to see),30,N,Y,Y,Yes,45,20,25,35,2.5,5,,,,,,,,,,,,,,,,,,,,,,,upland,"Basswood, ash, elm, cherry, bitternut hickory, birch",None apparent,,3943,"The epicormic from the trunk is dead, and the main trunk splits low. collected by Kylie",N,,basswood,ash,elm,prunus,hickory,birch,,,,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
