SUM of impact coefficient,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
focal tree,alternate-leaf dogwood,american elm,ash spp,basswood,big tooth aspen,birch spp,bitternut hickory,black ash,black cherry,black walnut,box elder,buckthorn,butternut,cedar spp,elderberry,green ash,hickory spp,honeysuckle,ironwood,lilac,malus,paper birch,pin cherry,red cedar,red maple,serviceberry,shagbark hickory,slippery elm,sugar maple,white ash,white cedar,white oak,yellow birch,Grand Total,offset1,offset2,ignore,gps_n,gps_w,slope,aspect,height_ft,seedling_or_adult,dbh_cm,adult_crown_class,adult_dead_or_alive,dead_adult_base_epicormics,dead_adult_trunk_epicormics,dead_adult_canker_presence,dead_adult_canker_base,dead_adult_canker_1st9ft,dead_adult_canker_1stlivebranch,dead_adult_girdle,producing_seed,adult_percent_live_canopy,live_adult_base_epicormics,live_adult_trunk_epicormics,live_adult_canker_presence,live_adult_callus_presence,live_adult_canker_base,live_adult_canker_1st9ft,live_adult_canker_1stlivebranch,live_adult_girdle,live_adult_purdue_canker_rating,live_adult_purdue_canopy_ranking,densi_n,densi_e,densi_s,densi_w,basal_diameter_mm,seedling_damage,seedling_previous_stem_count,seedling_germ_yr,seedling_dead_or_alive,dead_seedling_canker_presence,seedling_percent_live_canopy,live_seedling_canker_presence,live_seedling_callus_presence,seedling_canker_base,seedling_canker_stem,seedling_girdle,seed_count,seed_bunch_size,terminal_bud,leaf_scar,lenticels,twig_hairs,riparian_or_upland,associate_trees,competition,other_competition,last_photo,notes,hybrid_visibility,Column 67,IGNORE-1,Ignore-2,ignore-3,ignore-4,ignore-5,ignore-6,ignore-7,ignore-8,Column 77,hickory,dogwood,black walnut,white pine,red cedar,white cedar,malus,buckthorn,ash,elm,mulberry,basswood,sumac,honeysuckle,elderberry,prunus,lilac,boxelder,maple,hackberry,butternut,oak,poplar,hazelnut,beech,gooseberry,spruce,birch
196,,,,10.49703817,,,,,,,,,,,,,,,,,,,,46.83490358,,,1.446111869,,0.9268292683,2.19191685,,,2.957440476,64.85424021,,,,44.88401,-73.3268,1,E,22,Adult,11.6,Intermediate,Alive,,,,,,,,No,95,N,N,Y,Yes,10,20,15,40,2.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"basswood, red cedar, butternut, buckthorn, ash",None apparent,,2395,collected by emma,N,,basswood,red cedar,butternut,buckthorn,ash,,,,,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,,,,,,,,,,,,1.823404255,,,,,,1.032258065,,,,,,14.64293141,,,,,,,,,,17.49859373,,,,44.88373,-73.3324,2,N,12,Adult,4.6,Intermediate,Alive,,,,,,,,No,95,N,N,Y,Yes,0,,5,15,1,1,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"red cedar, honeysuckle, buckthorn",None apparent,,2197,collected by kylie,Y,,red cedar,honeysuckle,buckthorn,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,,10.49631493,,,,,,,,,,,17.3086553,,,,,,,,,,,19.31765455,,,,,,,16.46782997,,,63.59045475,,,,44.88287,-73.3313,0,,40,Adult,57.3,Co-dominant,Alive,,,,,,,,Unknown (unable to see),80,N,Y,Y,Yes,45,,30,50,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, red cedar, elm, white cedar, elderberry",Vines on the tree,,1800,collected by kylie,N,,butternut,red cedar,elm,white cedar,elderberry,,,,,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
207,1.35,,,,,,,,,,,,4.594257179,,,,,0.9279778393,,,,,,17.2327254,,,,,,,30.48952004,,,54.59448045,,,,44.88266,-73.3314,0,,42,Adult,33.2,Co-dominant,Alive,,,,,,,,Unknown (unable to see),90,N,N,Y,Yes,60,45,30,75,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, white cedar, red cedar, ash, dogwood, elm",None apparent,,1843,collected by catherine,N,,butternut,white cedar,red cedar,ash,dogwood,elm,,,,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
216,,,,,,,,,,,,1.973333333,34.80650995,,,,,,,,,,,31.16859409,,,,,,1.506493506,,,,69.45493087,,,,44.88251,-73.3309,1,N,38,Adult,22.3,Intermediate,Alive,,,,,,,,Unknown (unable to see),40,Y,N,Y,Yes,45,30,20,40,2.5,2,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"red cedar, butternut, white cedar, hickory",None apparent,,3124,collected by kylie,Y,,red cedar,butternut,white cedar,hickory,,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
223,1.7,,,,,,1.849865952,,,,,,7.484662577,,,,,,,,,,,,,,0.9882352941,,,,19.44378745,,,31.46655127,,,,44.88228,-73.3308,1,NE,40,Adult,34.8,Co-dominant,Alive,,,,,,,,Unknown (unable to see),85,Y,Y,Y,Yes,70,75,60,75,3.5,1.5,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"white cedar, red cedar, butternut, dogwood, ash, shagbark hickory",None apparent,,3031,collected by kylie,Y,,white cedar,red cedar,butternut,dogwood,ash,hickory,,,,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
226,1.694733595,,,,,,3.132356389,,,,,,114.0787052,,,,,,,,,,,4.085714286,,,,,,,42.77857143,,,165.7700809,,,,44.88175,-73.3304,0,,41,Adult,35.6,Co-dominant,Alive,,,,,,,,Unknown (unable to see),65,N,N,Y,Yes,15,15,10,15,1.5,2.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, white cedar, honeysuckle, red cedar, dogwood, malus, hickory",None apparent,,2999,collected by kylie,N,,butternut,white cedar,honeysuckle,red cedar,dogwood,malus,hickory,,,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
228,,1.024811219,,,,,12.75470559,,,,,,12.79837398,,,,,,,,,,,35.89091228,,,,,,,2.5,,,64.96880307,,,,44.88245,-73.3305,1,NW,28,Adult,24.8,Co-dominant,Alive,,,,,,,,Unknown (unable to see),20,Y,N,Y,Yes,75,65,70,75,4,3,,,,,,,,,,,,,,,,,,,NA,Unsure,0,0,upland,"elderberry, butternut, ash, red cedar, white cedar, bitternut hickory, boxelder",Vines on the tree,,3181,collected by kylie,Y,,elderberry,butternut,ash,red cedar,white cedar,hickory,boxelder,,,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
230,7.59173298,7.313945761,0.935483871,,,,2.514712064,,,,,13.34266635,6.124604681,,,,,,,,,,,76.00829285,,,,,,,,,,113.8314386,,,,44.88271,-73.3305,0,,43,Adult,34.7,Dominant,Alive,,,,,,,,Unknown (unable to see),5,N,N,Y,Yes,50,35,30,70,3.5,4,,,,,,,,,,,,,,,,,,,,,,,upland,"dogwood, buckthorn, red cedar, elm",None apparent,,3738,collected by catherine,N,,dogwood,buckthorn,red cedar,elm,,,,,,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,,12.73590643,7.953590139,,,,1.127659574,,,,,1.661739865,5.372881356,,,,,,,,,,,81.72571335,,,,,,,,,,110.5774907,,,,44.88245,-73.3292,0,,29,Adult,25.1,Intermediate,Alive,,,,,,,,No,5,Y,N,Y,Yes,70,,85,95,5,5,,,,,,,,,,,,,,,,,,,NA,0,1,0,upland,"elderberry, red cedar, bitternut hickory, elm, butternut, ash",None apparent,,1714,collected by catherine,Y,,elderberry,red cedar,hickory,elm,butternut,ash,,,,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
234,,18.00887327,1.58557423,,,,2.093450028,,,,,3.4919207,3.621621622,,,,,,,,,,,70.43907177,,,,,,1.333333333,2.567164179,,,103.1410091,,,,44.88237,-73.3291,0,,43,Adult,36.5,Dominant,Alive,,,,,,,,No,75,N,N,Y,Yes,40,55,35,55,3.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, white cedar, bitternut hickory, butternut, elm, elderberry, ash",None apparent,,1695,collected by catherine,N,,red cedar,white cedar,hickory,butternut,elm,elderberry,ash,,,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
235,,3.028417819,5.480769231,,,,22.73829608,,,,,,,,,,,,,,,,,52.37588595,,,,,,,,,,83.62336908,,,,44.88246,-73.3294,0,,40,Adult,39.2,Co-dominant,Alive,,,,,,,,Unknown (unable to see),60,N,N,Y,Yes,45,60,60,50,3.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"elm, red cedar, bitternut hickory, dogwood",Vines on the tree,,1736,collected by kylie,N,,elm,red cedar,hickory,dogwood,,,,,,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,1.596774194,0.8285714286,,4.961047254,,,9.455264306,,,,,3.054008439,,,,,,,,,,,,46.02583585,,,,,,,11.52554348,,,77.44704495,,,,44.88256,-73.3298,0,,35,Adult,34.6,Co-dominant,Alive,,,,,,,,Unknown (unable to see),65,N,N,Y,Yes,50,70,55,75,4,2,,,,,,,,,,,,,,,,,,,,,,,upland,"white cedar, red cedar, ash, bitternut hickory",None apparent,,1749,collected by kylie,N,,white cedar,red cedar,ash,hickory,,,,,,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,3.722305017,,2.784313725,,,,8.074171139,,,,,6.600004588,,,0.8554216867,,,,,,,,,63.46704813,,,,,,,3.16091954,,,88.66418383,,,,44.88261,-73.3302,0,,30,Adult,25.2,Co-dominant,Alive,,,,,,,,Unknown (unable to see),70,N,Y,Y,Yes,80,85,75,85,4,2,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, bitternut hickory, buckthorn, ash, elm",Vines on the tree,,3706,"epicormics dead, collected by catherine",N,,red cedar,hickory,buckthorn,ash,elm,,,,,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,,,,,,,,,,,1.661764706,5.937518038,,,,,,,,,,,,17.93894855,5.435294118,,,,,,,,,30.97352542,,,,44.8835,-73.3333,0,,15,Adult,4.5,Intermediate,Alive,,,,,,,,No,95,Y,N,Y,Yes,0,,20,45,1,1,,,,,,,,,,,,,,,,,,,NA,0,0,1,upland,"buckthorn, boxelder, red cedar, maple, ash",Other,red cedar,2305,collected by kylie ,Y,,buckthorn,boxelder,red cedar,maple,ash,,,,,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
587,,,7.406320245,,,,,,,,,3.482913253,,,,,,,,,,,,39.43610888,,,,,,,4.248927039,,,54.57426941,,,,44.88567,-73.3293,0,,45,Adult,37.5,Dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,15,15,10,30,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"Buckthorn, red cedar, elm, ash",None apparent,,3924,collected by Kylie,N,,buckthorn,red cedar,elm,ash,,,,,,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67a,,,7.683423149,,,,,,,,,,,,,,,,,,2.364942529,,,33.14615028,,,0.5393743258,,,,4.92516404,,,48.65905432,,,,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
Grand Total,39.99736067,213.4966116,337.9141394,174.4946884,1.289855072,1.736401674,108.0370449,33.11291459,29.15613896,9.153209031,6.720126249,84.39744637,314.3868296,1.466030989,0.8554216867,0.6778149387,12.33695652,4.951986213,25.35350516,7.006474146,14.73557148,1.146341463,3.066470588,2573.67081,7.0657289,4.856376094,43.50124662,5.357117117,152.4245573,20.03670901,407.4828632,1.320293399,2.957440476,4644.162482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
