SUM of impact coefficient,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
focal tree,alternate-leaf dogwood,american elm,ash spp,basswood,big tooth aspen,birch spp,bitternut hickory,black ash,black cherry,black walnut,box elder,buckthorn,butternut,cedar spp,elderberry,green ash,hickory spp,honeysuckle,ironwood,lilac,malus,paper birch,pin cherry,red cedar,red maple,serviceberry,shagbark hickory,slippery elm,sugar maple,white ash,white cedar,white oak,yellow birch,Grand Total,offset1,offset2,ignore,gps_n,gps_w,slope,aspect,height_ft,seedling_or_adult,dbh_cm,adult_crown_class,adult_dead_or_alive,dead_adult_base_epicormics,dead_adult_trunk_epicormics,dead_adult_canker_presence,dead_adult_canker_base,dead_adult_canker_1st9ft,dead_adult_canker_1stlivebranch,dead_adult_girdle,producing_seed,adult_percent_live_canopy,live_adult_base_epicormics,live_adult_trunk_epicormics,live_adult_canker_presence,live_adult_callus_presence,live_adult_canker_base,live_adult_canker_1st9ft,live_adult_canker_1stlivebranch,live_adult_girdle,live_adult_purdue_canker_rating,live_adult_purdue_canopy_ranking,densi_n,densi_e,densi_s,densi_w,basal_diameter_mm,seedling_damage,seedling_previous_stem_count,seedling_germ_yr,seedling_dead_or_alive,dead_seedling_canker_presence,seedling_percent_live_canopy,live_seedling_canker_presence,live_seedling_callus_presence,seedling_canker_base,seedling_canker_stem,seedling_girdle,seed_count,seed_bunch_size,terminal_bud,leaf_scar,lenticels,twig_hairs,riparian_or_upland,associate_trees,competition,other_competition,last_photo,notes,hybrid_visibility,Column 67,IGNORE-1,Ignore-2,ignore-3,ignore-4,ignore-5,ignore-6,ignore-7,ignore-8,Column 77,hickory,dogwood,black walnut,white pine,red cedar,white cedar,malus,buckthorn,ash,elm,mulberry,basswood,sumac,honeysuckle,elderberry,prunus,lilac,boxelder,maple,hackberry,butternut,oak,poplar,hazelnut,beech,gooseberry,spruce,birch
57,0.04,,,,,,,,,,,,0.06,,,,,,,,,,,0.27,,,0.04,0.07,,,0.52,,,1.00,,,,44.88291,-73.3311,0,,47,Adult,35.7,Co-dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,60,50,40,55,2.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"white cedar, elderberry, dogwood, butternut, red cedar, ash, shagbark hickory, elm ",Other,white cedar,1849,collected by Catherine,N,,white cedar,elderberry,dogwood,butternut,red cedar,ash,hickory,elm,,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
60,0.08,,,,,,,,,,,0.04,,,,,,,,,,,,0.76,,,,,,,0.12,,,1.00,,,,44.8837,-73.3311,1,N,29,Adult,16.6,Co-dominant,Alive,,,,,,,,Unknown (unable to see),10,Y,N,Y,Yes,80,85,75,80,4,3.5,,,,,,,,,,,,,,,,,,,NA,Unsure,0,0,upland,"red cedar, ash, buckthorn, dogwood ",None apparent,,4279,collected by Kylie,Y,,red cedar,ash,buckthorn,dogwood,,,,,,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,,,0.15,,0.02,,,,,,,,0.18,,,,,,,,,,,0.64,,,,,,,,,,1.00,,,,44.88587,-73.3286,0,,42,Adult,29.5,Co-dominant,Alive,,,,,,,,Unknown (unable to see),95,N,N,Y,Yes,50,25,15,20,2.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"Ash, butternut, dogwood, red cedar, buckthorn, sumac",None apparent,,3885,collected by Kylie,N,,ash,butternut,dogwood,red cedar,buckthorn,sumac,,,,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,,0.06,0.10,,,,,0.03,,,,,0.05,,,,,,,,,,,0.63,,,,,0.04,,0.10,,,1.00,,,,44.88456,-73.3277,0,,42,Adult,35.5,Dominant,Alive,,,,,,,,Unknown (unable to see),85,N,N,Y,Yes,70,65,45,85,3.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"sugar maple, ash, red cedar ",None apparent,,3470,collected by Catherine,N,,maple,ash,red cedar,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,,0.03,,,,,,,,,,0.03,,,,,,,,,,,,0.94,,,,,,,,,,1.00,,,,44.88471,-73.3271,0,,43,Adult,37.7,Dominant,Alive,,,,,,,,Unknown (unable to see),95,N,N,Y,Yes,10,5,5,10,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, red cedar, mulberry, elm, oak, ash, maple",None apparent,,3432,collected by kylie,N,,butternut,red cedar,mulberry,elm,oak,ash,maple,,,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
71,,0.05,0.09,,,,,0.01,0.02,0.10,,0.01,0.08,,,,,,,,0.04,,,0.38,,,0.01,,0.02,0.12,0.08,,,1.00,,,,44.88492,-73.3271,0,,47,Adult,19,Co-dominant,Alive,,,,,,,,No,100,N,N,Y,Yes,15,20,10,65,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"elm, black walnut, ash, butternut, white cedar",None apparent,,1465,collected by emma,N,,elm,black walnut,ash,butternut,white cedar,,,,,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,,0.08,0.35,0.17,,,,,,,,,0.01,,,,,,,,,,,0.03,,,0.11,,0.23,,0.02,,,1.00,,,,44.88339,-73.3261,2,E,52,Adult,36.8,Co-dominant,Alive,,,,,,,,Unknown (unable to see),55,N,N,Y,Yes,85,60,60,90,3.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"maple, basswood, red cedar, white cedar, hickory ",None apparent,,3277,"hard to see crown due to maple canopy, collected by kylie ",N,,maple,basswood,red cedar,white cedar,hickory,,,,,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,,0.05,0.15,,,,,,,,,,,,,,,,,,,,,0.44,,,,,0.01,,0.36,,,1.00,,,,44.88389,-73.3299,0,,45,Adult,28.9,Co-dominant,Alive,,,,,,,,Yes,80,Y,N,Y,Yes,15,35,40,80,4,4,,,,,,,,,,,,,,,,,Lots - greater than 50,5 or fewer,NA,0,0,0,upland,"ash, butternut, red cedar, white cedar, honeysuckle",Other,Red cedar,245,,Y,,,,,,,,,,,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,,,0.05,,,,,,0.05,,,,,,,,,0.03,,,,,,0.74,,,0.03,,,,0.11,,,1.00,,,,44.88443,-73.3274,0,,50,Adult,43.3,Dominant,Alive,,,,,,,,Unknown (unable to see),50,N,Y,Y,Yes,70,35,25,70,3,3.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, ash, red cedar, white cedar",None apparent,,3422,collected by kylie,N,,butternut,ash,red cedar,white cedar,,,,,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,,0.01,,0.04,,,0.05,0.02,,,,,,,,,,,,,,,,0.87,,,,,,,,,,1.00,,,,44.88425,-73.3276,0,,35,Adult,35.4,Dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,20,55,35,85,3,1,,,,,,,,,,,,,,,,,,,,,,,upland,"ash, elm, basswood, red cedar ",None apparent,,3542,collected by catherine,N,,ash,elm,basswood,red cedar,,,,,,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,,0.08,0.17,,,,,,,,,0.05,,,,,,,,,,,0.02,0.60,,,0.03,,,,0.06,,,1.00,,,,44.88438,-73.3277,0,,47,Adult,33.5,Dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,10,55,40,50,3.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, elm, prunus spp, shagbark hickory, butternut",None apparent,,3563,collected by catherine,N,,red cedar,elm,prunus,hickory,butternut,,,,,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
93,,0.01,0.17,,,,,,,,,0.01,0.03,,,,,,,,,,,0.79,,,,,,,,,,1.00,,,,44.88429,-73.3279,0,,35,Adult,16.9,Co-dominant,Alive,,,,,,,,Unknown (unable to see),85,N,N,Y,Yes,25,20,40,65,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"buckthorn, red cedar, elm, ash, butternut",None apparent,,3531,collected by catherine,N,,buckthorn,red cedar,elm,ash,butternut,,,,,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,,0.13,,,,,,,,,,,0.07,,,,,,,,,,,0.77,,,,,,,0.03,,,1.00,,,,44.88438,-73.3281,0,,41,Adult,43,Co-dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,15,40,35,40,3.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"shagbark hickory, red cedar, butternut",None apparent,,3506,collected by catherine,N,,hickory,red cedar,butternut,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,,,0.20,0.13,,,,,0.10,,,,0.07,,,,,,0.17,,,,,0.10,,,,,0.09,,0.14,,,1.00,,,,44.88319,-73.3265,1,E,64,Adult,47.5,Co-dominant,Alive,,,,,,,,Unknown (unable to see),95,N,N,Y,Yes,15,2,1,8,1.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, ash, maple, basswood, red cedar, white cedar ",None apparent,,3305,collected by kylie,N,,butternut,ash,maple,basswood,red cedar,white cedar,,,,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
101,,,0.05,0.63,,,,,,,,,,,,,,,0.03,,,,,0.15,,,0.01,,0.13,,,,,1.00,,,,44.88375,-73.3266,3,SE,36,Adult,17.5,Intermediate,Alive,,,,,,,,Unknown (unable to see),85,N,N,Y,Yes,35,30,30,35,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"shagbark hickory, sugar maple, basswood, white cedar, red cedar ",None apparent,,2749,collected by catherine,N,,hickory,maple,basswood,white cedar,red cedar,,,,,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,,0.05,0.10,0.09,,,0.02,0.02,,,,0.02,0.16,0.01,,,,,,,0.02,,,0.25,,,,,0.16,,0.10,,,1.00,,,,44.88431,-73.3266,2,SE,45,Adult,33,Co-dominant,Alive,,,,,,,,Not fruiting season,90,N,N,Y,Yes,90,55,35,50,3,1,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, sugar maple, red cedar, white cedar, ash, basswood, elm",None apparent,,1580,collected by emma ,N,,butternut,maple,red cedar,white cedar,ash,basswood,elm,,,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
109,,0.08,0.08,,,,,,,,,,0.13,,,,,,,0.09,,0.01,,0.54,,,,,0.02,,0.04,,,1.00,,,,44.88446,-73.3265,2,SE,44,Adult,22.2,Co-dominant,Alive,,,,,,,,Not fruiting season,95,N,N,Y,Yes,0,1,0.5,3,1,1,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, butternut, dogwood, maple, elm, ash",None apparent,,1538,collected by emma,N,,red cedar,butternut,dogwood,maple,elm,ash,,,,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
123,,0.08,0.41,,,,,0.08,,,,,0.01,,,,0.08,,,,,,,0.17,,,,,0.07,,0.09,,,1.00,,,,44.88483,-73.3261,0,,40,Adult,27.5,Co-dominant,Alive,,,,,,,,Unknown (unable to see),75,N,N,Y,Yes,35,80,50,95,4.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"sugar maple, ash, elm, white pine",None apparent,,3839,collected by catherine,N,,maple,ash,elm,white pine,,,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,,,0.10,0.16,,,,,,,,,,,,,,,0.11,,,,,0.37,,,0.09,,0.08,,0.08,,,1.00,,,,44.88351,-73.3262,1,E,39,Adult,12.5,Co-dominant,Alive,,,,,,,,Unknown (unable to see),85,N,Y,Y,Yes,15,20,25,25,2.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, ash, maple, basswood, red cedar, white cedar, hickory ",None apparent,,3315,collected by catherine,N,,butternut,ash,maple,basswood,red cedar,white cedar,hickory,,,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
125,,0.13,0.02,,,,,,,,,,,,,,,,,,,,,0.53,,,,,0.12,,0.19,,,1.00,,,,44.88241,-73.3281,1,E,38,Adult,33,Co-dominant,Alive,,,,,,,,No,15,Y,Y,Y,Yes,35,80,75,85,3.5,4,,,,,,,,,,,,,,,,,,,,,,,upland,"white cedar, maple, bitternut hickory, eastern red cedar, elm",None apparent,,1623,collected by emma,N,,white cedar,maple,hickory,red cedar,elm,,,,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,0.12,0.02,0.30,,,,0.20,,,,,0.03,,,,,,,,,,,,0.18,,,,,,,0.16,,,1.00,,,,44.88257,-73.328,2,E,42,Adult,37.4,Co-dominant,Alive,,,,,,,,No,0,N,Y,Y,Yes,75,,95,95,5,5,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"sugar maple, bitternut hickory, white cedar, red cedar, ash",None apparent,,1636,collected by emma,Y,,maple,hickory,white cedar,red cedar,ash,,,,,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,0.03,0.12,,,,,0.06,,,,,0.01,,,,,,,,,,,,0.61,,,0.12,,0.05,,,,,1.00,,,,44.88263,-73.3283,1,E,35,Adult,33.2,Co-dominant,Alive,,,,,,,,No,60,N,N,Y,Yes,90,70,60,90,4,2,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, white cedar, sugar maple, ash",None apparent,,1644,collected by catherine,N,,butternut,white cedar,maple,ash,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
130,,,,,,,0.11,,,,0.03,0.19,,,,,,,,,0.04,,,0.60,,0.02,,,,,,,,1.00,,,,44.88272,-73.329,0,,24,Adult,20.2,Intermediate,Alive,,,,,,,,Yes,15,N,Y,Y,Yes,35,65,60,95,4,3,,,,,,,,,,,,,,,,,Few - less than 50 seeds on the tree,5 or fewer,,,,,upland,"red cedar, bitternut hickory, honeysuckle, buckthorn, ash",Vines on the tree,,1726,collected by kylie,N,,red cedar,hickory,honeysuckle,buckthorn,ash,,,,,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,,,,,,,,,,,,,0.04,,,,,,,,,,,0.96,,,,,,,,,,1.00,,,,44.88371,-73.3272,2,NE,5,Adult,13,Suppressed,Alive,,,,,,,,No,95,N,N,Y,Yes,5,,5,20,1,1,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"red cedar, dogwood, butternut",None apparent,,2672,collected by catherine,Y,,red cedar,dogwood,butternut,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
169,,0.02,0.02,,,,,,,,,0.07,,,,,,,,,,,,0.86,,,0.03,,0.01,,,,,1.00,,,,44.88303,-73.3271,0,,24,Adult,18.3,Dominant,Alive,,,,,,,,Unknown (unable to see),10,N,N,Y,Yes,40,25,25,36,2.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"ash, butternut, elm, red cedar, hickory, maple",None apparent,,3336,collected by kylie,N,,ash,butternut,elm,red cedar,hickory,maple,,,,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
175,,0.14,0.18,0.51,,,,,0.08,,0.04,,,,,,,,,,,,,,,,,,,0.04,,,,1.00,,,,44.88634,-73.3292,0,,49,Adult,32.9,Co-dominant,Alive,,,,,,,,Unknown (unable to see),30,N,Y,Y,Yes,45,20,25,35,2.5,5,,,,,,,,,,,,,,,,,,,,,,,upland,"Basswood, ash, elm, cherry, bitternut hickory, birch",None apparent,,3943,"The epicormic from the trunk is dead, and the main trunk splits low. collected by Kylie",N,,basswood,ash,elm,prunus,hickory,birch,,,,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
182,,0.21,,0.05,,,,,,,,0.01,,,,,,,,,,,,0.25,,,,,0.40,,0.08,,,1.00,,,,44.88276,-73.3271,4,N,38,Adult,31.6,Co-dominant,Alive,,,,,,,,Unknown (unable to see),75,N,N,Y,Yes,45,85,70,95,4.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"elm, red cedar, maple, ash, basswood, white cedar",None apparent,,3344,collected by kylie,N,,elm,red cedar,maple,ash,basswood,white cedar,,,,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,,,,0.16,,,,,,,,,,,,,,,,,,,,0.72,,,0.02,,0.01,0.03,,,0.05,1.00,,,,44.88401,-73.3268,1,E,22,Adult,11.6,Intermediate,Alive,,,,,,,,No,95,N,N,Y,Yes,10,20,15,40,2.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"basswood, red cedar, butternut, buckthorn, ash",None apparent,,2395,collected by emma,N,,basswood,red cedar,butternut,buckthorn,ash,,,,,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,,,,,,,,,,,,0.10,,,,,,0.06,,,,,,0.84,,,,,,,,,,1.00,,,,44.88373,-73.3324,2,N,12,Adult,4.6,Intermediate,Alive,,,,,,,,No,95,N,N,Y,Yes,0,,5,15,1,1,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"red cedar, honeysuckle, buckthorn",None apparent,,2197,collected by kylie,Y,,red cedar,honeysuckle,buckthorn,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
